sentence_id,condition,oci_A_Default,oci_B_Edit_heavy,oci_C_Style_heavy,oci_D_Similarity_heavy,oci_E_Equal_weights
ABC.train.gold.bea19_032688,role,0.029678161681913198,0.03953187715464813,0.02363522169230516,0.023500593275597732,0.02152576946059605
ABC.train.gold.bea19_030414,fewshot,0.012389669826740817,0.01752206603465188,0.008761033017325977,0.00876103301732605,0.008499509643674475
ABC.train.gold.bea19_030414,instruction,0.012389669826740817,0.01752206603465188,0.008761033017325977,0.00876103301732605,0.008499509643674475
ABC.train.gold.bea19_030414,role,0.012389669826740817,0.01752206603465188,0.008761033017325977,0.00876103301732605,0.008499509643674475
ABC.train.gold.bea19_000749,fewshot,0.022110809324146323,0.030804612775975508,0.015848898221798764,0.016663384159358453,0.015445991379563524
ABC.train.gold.bea19_000749,instruction,0.01878890261874007,0.02629514070191258,0.013423798751872513,0.013897557823642628,0.013021794970350173
ABC.train.gold.bea19_000749,role,0.01878890261874007,0.02629514070191258,0.013423798751872513,0.013897557823642628,0.013021794970350173
ABC.train.gold.bea19_015001,fewshot,0.0216312505748855,0.02304456696274921,0.018338151605178578,0.030635448082164562,0.022826629839195714
ABC.train.gold.bea19_015001,instruction,0.0216312505748855,0.02304456696274921,0.018338151605178578,0.030635448082164562,0.022826629839195714
ABC.train.gold.bea19_015001,role,0.0216312505748855,0.02304456696274921,0.018338151605178578,0.030635448082164562,0.022826629839195714
ABC.train.gold.bea19_033890,fewshot,0.006132723112128199,0.00867821728233631,0.004339108641168191,0.004339108641168263,0.004166939086847625
ABC.train.gold.bea19_033890,instruction,0.006132723112128199,0.00867821728233631,0.004339108641168191,0.004339108641168263,0.004166939086847625
ABC.train.gold.bea19_033890,role,0.006132723112128199,0.00867821728233631,0.004339108641168191,0.004339108641168263,0.004166939086847625
ABC.train.gold.bea19_019045,fewshot,0.020603283181540293,0.02921988520264395,0.014615487605644033,0.01462657761428815,0.013435956522755482
ABC.train.gold.bea19_019045,instruction,0.02384230692329804,0.033591286232618214,0.016999111979416597,0.017406049705631577,0.015749642313770826
ABC.train.gold.bea19_019045,role,0.020603283181540293,0.02921988520264395,0.014615487605644033,0.01462657761428815,0.013435956522755482
B.train.gold.bea19_004985,fewshot,0.008524027459954286,0.01186662307943776,0.0059333115397189155,0.0059333115397189875,0.007355344883949075
B.train.gold.bea19_004985,instruction,0.008524027459954286,0.01186662307943776,0.0059333115397189155,0.0059333115397189875,0.007355344883949075
B.train.gold.bea19_004985,role,0.008524027459954286,0.01186662307943776,0.0059333115397189155,0.0059333115397189875,0.007355344883949075
